word,start,end,duration,score,pause_before
about,218.933,219.254,0.321,0.781,0.06
"it,",219.374,219.494,0.12,0.951,0.12
then,219.554,219.794,0.24,0.898,0.06
you,219.894,220.034,0.14,0.971,0.1
should,220.094,220.334,0.24,0.844,0.06
talk,220.935,221.295,0.36,0.674,0.601
around,221.315,221.635,0.32,0.656,0.02
two,221.735,221.915,0.18,0.919,0.1
"minutes,",221.955,222.296,0.341,0.778,0.04
okay?,222.556,222.896,0.34,0.784,0.26
It's,224.197,224.417,0.22,0.712,1.301
your,224.517,224.737,0.22,0.854,0.1
cue,224.897,225.137,0.24,0.794,0.16
card,225.177,225.518,0.341,0.76,0.04
and,227.619,227.739,0.12,0.722,2.101
you,227.759,227.859,0.1,0.992,0.02
can,227.899,228.079,0.18,0.886,0.04
take,228.119,228.339,0.22,0.8,0.04
a,228.359,228.379,0.02,0.005,0.02
note,228.46,228.72,0.26,0.949,0.081
here.,228.74,229.02,0.28,0.354,0.02
"Okay,",298.32,298.721,0.401,0.81,69.3
time's,298.921,299.202,0.281,0.798,0.2
up.,299.282,299.402,0.12,0.939,0.08
Would,300.163,300.283,0.12,0.897,0.761
you,300.304,300.404,0.1,0.793,0.021
please,300.424,300.684,0.26,0.816,0.02
give,300.744,300.965,0.221,0.386,0.06
it?,300.985,301.085,0.1,0.442,0.02
"Okay,",301.105,301.265,0.16,0.357,0.02
you,301.285,301.365,0.08,0.161,0.02
can,301.385,301.506,0.121,0.688,0.02
have,301.546,301.706,0.16,0.985,0.04
it.,301.766,301.866,0.1,0.944,0.06
All,303.008,303.128,0.12,0.408,1.142
"right,",303.148,303.389,0.241,0.866,0.02
now,303.569,303.689,0.12,0.833,0.18
you,303.729,303.85,0.121,0.832,0.04
may,303.87,303.99,0.12,0.753,0.02
talk.,304.03,304.29,0.26,0.6,0.04
My,306.408,306.568,0.16,0.874,2.118
best,306.628,306.889,0.261,0.961,0.06
friend,306.989,307.349,0.36,0.853,0.1
in,308.05,308.13,0.08,0.824,0.701
my,308.19,308.35,0.16,0.798,0.06
life,308.41,308.71,0.3,0.897,0.06
is,309.511,309.631,0.12,0.952,0.801
my,309.911,310.071,0.16,0.924,0.28
neighbor,310.152,310.672,0.52,0.848,0.081
and,311.172,313.495,2.323,0.833,0.5
I,313.955,314.035,0.08,0.962,0.46
have,314.095,314.375,0.28,0.789,0.06
known,315.216,315.636,0.42,0.783,0.841
with,315.977,316.557,0.58,0.764,0.341
him,316.657,316.878,0.221,0.742,0.1
at,317.578,317.958,0.38,0.782,0.7
university,318.099,318.899,0.8,0.797,0.141
and,319.38,321.281,1.901,0.779,0.481
I,321.301,321.321,0.02,0.001,0.02
feel,322.022,322.242,0.22,0.932,0.701
better,322.302,322.643,0.341,0.904,0.06
with,323.463,323.684,0.221,0.825,0.82
him,323.724,323.944,0.22,0.89,0.04
because,324.384,324.785,0.401,0.93,0.44
when,325.725,325.906,0.181,0.729,0.94
I'm,326.026,326.186,0.16,0.819,0.12
depressed,326.366,326.886,0.52,0.988,0.18
or,327.027,327.187,0.16,0.768,0.141
angry,327.207,327.907,0.7,0.816,0.02
I,328.348,328.508,0.16,0.641,0.441
go,329.509,329.689,0.18,0.899,1.001
out,329.869,330.209,0.34,0.832,0.18
with,330.329,330.53,0.201,0.918,0.12
him,330.57,330.71,0.14,0.995,0.04
and,331.17,331.69,0.52,0.737,0.46
I,332.071,332.551,0.48,0.831,0.381
prefer,332.871,333.351,0.48,0.938,0.32
to,333.411,333.712,0.301,0.932,0.06
have,333.972,334.272,0.3,0.802,0.26
a,334.892,334.972,0.08,0.712,0.62
good,335.152,335.332,0.18,0.96,0.18
time,335.372,335.613,0.241,0.755,0.04
with,335.673,335.853,0.18,0.97,0.06
him,335.913,336.093,0.18,0.864,0.06
because,336.813,337.293,0.48,0.916,0.72
he,337.333,337.414,0.081,0.106,0.04
feel,339.014,339.355,0.341,0.827,1.6
he,339.995,340.135,0.14,0.99,0.64
feel,340.175,340.395,0.22,0.84,0.04
me,340.415,340.515,0.1,0.97,0.02
better,340.555,340.875,0.32,0.88,0.04
and,340.995,341.096,0.101,0.877,0.12
helped,341.596,341.816,0.22,0.904,0.5
me,341.836,341.956,0.12,0.976,0.02
to,341.996,342.276,0.28,0.85,0.04
have,342.396,342.836,0.44,0.82,0.12
a,342.856,342.876,0.02,0.015,0.02
good,342.957,343.137,0.18,0.853,0.081
time,343.157,343.357,0.2,0.864,0.02
and,343.497,343.597,0.1,0.968,0.14
helped,343.857,344.097,0.24,0.928,0.26
me,344.117,344.237,0.12,0.932,0.02
in,344.537,344.617,0.08,0.991,0.3
some,344.677,344.878,0.201,0.982,0.06
situation,344.958,345.658,0.7,0.872,0.08
and,345.758,345.838,0.08,0.508,0.1
condition,345.918,346.538,0.62,0.901,0.08
and,347.199,347.299,0.1,0.907,0.661
I,351.641,351.721,0.08,0.758,4.342
can,351.741,352.001,0.26,0.83,0.02
go,352.101,352.261,0.16,1.0,0.1
out,352.441,352.621,0.18,0.831,0.18
with,352.721,352.921,0.2,0.94,0.1
him,352.981,353.201,0.22,0.786,0.06
and,353.621,354.361,0.74,0.891,0.42
doing,355.442,355.742,0.3,0.885,1.081
everything,355.902,356.542,0.64,0.868,0.16
in,357.102,357.282,0.18,0.915,0.56
their,357.302,357.702,0.4,0.625,0.02
"home,",357.762,358.683,0.921,0.67,0.06
in,358.883,359.023,0.14,0.83,0.2
his,359.443,359.643,0.2,0.925,0.42
"home,",359.723,359.943,0.22,0.829,0.08
and,360.463,361.103,0.64,0.873,0.52
go,362.904,363.104,0.2,0.995,1.801
out,363.284,363.444,0.16,0.945,0.18
to,363.464,363.504,0.04,0.0,0.02
park,363.564,363.864,0.3,0.426,0.06
or,363.884,363.924,0.04,0.0,0.02
go,364.164,364.204,0.04,0.002,0.24
shopping,364.224,364.424,0.2,0.084,0.02
with,364.444,365.264,0.82,0.462,0.02
him.,365.284,365.464,0.18,0.57,0.02
I,380.137,380.217,0.08,0.797,14.673
can,380.257,380.717,0.46,0.792,0.04
buy,381.678,381.898,0.22,0.776,0.961
anything,382.018,382.878,0.86,0.914,0.12
with,383.258,383.518,0.26,0.867,0.38
him,383.558,383.818,0.26,0.882,0.04
and,384.118,386.079,1.961,0.941,0.3
do,386.379,386.639,0.26,0.934,0.3
some,386.739,386.939,0.2,0.986,0.1
hobbies,386.999,388.379,1.38,0.914,0.06
like,388.459,388.999,0.54,0.852,0.08
play,389.119,389.519,0.4,0.897,0.12
computer,389.899,390.42,0.521,0.922,0.38
games,390.46,390.78,0.32,0.863,0.04
or,390.94,391.08,0.14,0.79,0.16
play,391.24,392.54,1.3,0.853,0.16
some,393.16,393.38,0.22,0.951,0.62
hobbies,393.42,393.78,0.36,0.869,0.04
like,393.86,394.12,0.26,0.936,0.08
soccer,394.16,394.38,0.22,0.286,0.04
and,395.461,395.561,0.1,0.414,1.081
other,395.761,396.121,0.36,0.716,0.2
things.,396.281,396.521,0.24,0.247,0.16
Thank,401.662,401.883,0.221,0.876,5.141
you.,401.903,402.103,0.2,0.989,0.02
Do,402.123,402.164,0.041,0.0,0.02
you,403.106,403.247,0.141,0.64,0.942
want,403.367,403.748,0.381,0.794,0.12
to,404.149,404.33,0.181,0.769,0.401
have,404.43,404.711,0.281,0.886,0.1
a,404.731,404.751,0.02,0.0,0.02
few,405.313,405.634,0.321,0.842,0.562
best,405.814,406.175,0.361,0.937,0.18
friends,406.316,406.717,0.401,0.729,0.141
or,406.978,407.078,0.1,0.641,0.261
a,407.259,407.299,0.04,0.505,0.181
lot,407.419,407.68,0.261,0.991,0.12
of,407.74,407.82,0.08,0.668,0.06
friends?,408.181,408.603,0.422,0.872,0.361
In,410.804,410.864,0.06,0.968,2.201
my,410.924,411.084,0.16,0.751,0.06
"opinion,",411.144,411.584,0.44,0.808,0.06
I,412.865,412.965,0.1,0.935,1.281
have,413.046,413.266,0.22,0.974,0.081
a,413.326,413.426,0.1,0.661,0.06
few,414.887,415.127,0.24,0.981,1.461
friends,415.307,415.688,0.381,0.737,0.18
who,415.828,416.108,0.28,0.967,0.14
are,416.669,417.89,1.221,0.715,0.561
loyal,418.05,418.55,0.5,0.949,0.16
and,418.991,419.771,0.78,0.749,0.441
help,420.051,420.332,0.281,0.892,0.28
you,420.472,420.772,0.3,0.946,0.14
in,421.493,421.573,0.08,0.87,0.721
some,421.633,421.833,0.2,0.787,0.06
situation,422.093,422.674,0.581,0.836,0.26
or,422.794,422.874,0.08,0.992,0.12
doing,424.956,425.756,0.8,0.554,2.082
everything,425.896,426.757,0.861,0.845,0.14
that,427.458,427.638,0.18,0.892,0.701
you,427.678,427.898,0.22,0.853,0.04
like,427.938,428.338,0.4,0.736,0.04
is,429.359,429.499,0.14,0.752,1.021
much,430.06,430.28,0.22,0.767,0.561
better,430.36,430.68,0.32,0.756,0.08
than,430.741,430.961,0.22,0.942,0.061
you,431.821,432.262,0.441,0.861,0.86
had,432.422,432.602,0.18,0.919,0.16
a,432.702,432.782,0.08,0.409,0.1
lot,432.842,433.042,0.2,0.546,0.06
of,433.183,433.223,0.04,0.0,0.141
friends,433.243,433.523,0.28,0.276,0.02
or,433.623,433.763,0.14,0.802,0.1
people.,434.043,434.223,0.18,0.423,0.28
If,440.773,440.873,0.1,0.967,6.55
you,440.933,441.114,0.181,0.861,0.06
had,441.154,441.395,0.241,0.823,0.04
a,441.455,441.475,0.02,0.998,0.06
"problem,",441.615,442.257,0.642,0.885,0.14
would,443.079,443.279,0.2,0.98,0.822
you,443.319,443.46,0.141,0.891,0.04
go,443.52,443.7,0.18,0.907,0.06
to,443.801,443.881,0.08,0.998,0.101
your,443.941,444.101,0.16,0.713,0.06
friends,444.302,444.803,0.501,0.798,0.201
or,445.304,445.425,0.121,0.645,0.501
family,445.645,446.227,0.582,0.848,0.22
and,446.748,446.888,0.14,0.784,0.521
why?,447.009,447.329,0.32,0.891,0.121
If,449.046,449.126,0.08,0.918,1.717
I,449.206,449.286,0.08,0.825,0.08
have,449.326,449.506,0.18,0.764,0.04
a,449.546,449.586,0.04,0.413,0.04
"problem,",450.047,451.027,0.98,0.837,0.461
I,451.307,451.408,0.101,0.796,0.28
prefer,451.448,451.988,0.54,0.892,0.04
or,452.168,455.69,3.522,0.806,0.18
I'd,456.05,456.511,0.461,0.755,0.36
like,456.571,456.811,0.24,0.898,0.06
to,456.851,457.131,0.28,0.976,0.04
"go,",457.511,457.811,0.3,0.949,0.38
I'd,458.292,458.412,0.12,0.68,0.481
like,458.472,458.672,0.2,0.864,0.06
to,458.712,459.052,0.34,0.912,0.04
stay,459.592,459.853,0.261,0.832,0.54
with,459.893,460.033,0.14,0.981,0.04
my,460.113,460.273,0.16,0.892,0.08
families,460.393,460.993,0.6,0.888,0.12
and,461.474,462.234,0.76,0.863,0.481
have,465.356,465.716,0.36,0.755,3.122
some,465.796,466.016,0.22,0.939,0.08
solution,466.357,466.937,0.58,0.923,0.341
for,467.577,467.837,0.26,0.729,0.64
solving,467.958,469.058,1.1,0.725,0.121
these,469.118,469.338,0.22,0.873,0.06
problems,469.418,470.059,0.641,0.857,0.08
and,470.259,470.379,0.12,0.899,0.2
some,470.439,471.24,0.801,0.77,0.06
change,471.26,471.54,0.28,0.52,0.02
for,471.56,471.72,0.16,0.295,0.02
helping,477.083,477.624,0.541,0.851,5.363
me,477.704,477.924,0.22,0.814,0.08
in,478.124,478.224,0.1,0.913,0.2
some,478.964,479.185,0.221,0.702,0.74
difficulties,479.225,480.085,0.86,0.838,0.04
and,480.986,481.166,0.18,0.887,0.901
sometimes,481.186,482.707,1.521,0.581,0.02
friends,482.727,483.107,0.38,0.427,0.02
can,483.127,483.347,0.22,0.307,0.02
help,483.367,483.487,0.12,0.314,0.02
you,483.607,483.848,0.241,0.293,0.12
in,483.868,483.908,0.04,0.17,0.02
some,483.948,484.128,0.18,0.318,0.04
situation,484.148,484.328,0.18,0.012,0.02
but,484.348,484.408,0.06,0.0,0.02
not,484.428,484.488,0.06,0.01,0.02
really,484.508,484.628,0.12,0.004,0.02
that.,484.908,485.068,0.16,0.336,0.28
Do,500.921,500.961,0.04,0.015,15.853
you,500.981,501.121,0.14,0.569,0.02
think,501.201,501.521,0.32,0.904,0.08
it's,501.702,501.822,0.12,0.934,0.181
always,502.082,502.522,0.44,0.839,0.26
better,502.682,503.063,0.381,0.836,0.16
to,503.143,503.243,0.1,0.916,0.08
talk,503.323,503.643,0.32,0.942,0.08
to,503.703,503.763,0.06,0.924,0.06
your,503.803,503.943,0.14,0.818,0.04
friends,504.123,504.524,0.401,0.788,0.18
about,504.744,505.224,0.48,0.881,0.22
your,505.625,505.825,0.2,0.888,0.401
problems?,505.905,506.565,0.66,0.845,0.08
Can,509.447,509.828,0.381,0.638,2.882
you,510.068,510.508,0.44,0.721,0.24
repeat,510.588,510.868,0.28,0.834,0.08
again?,510.888,511.089,0.201,0.351,0.02
Yes.,511.329,511.669,0.34,0.9,0.24
Do,512.29,512.37,0.08,0.825,0.621
you,512.39,512.53,0.14,0.874,0.02
think,512.59,512.95,0.36,0.878,0.06
it's,513.15,513.31,0.16,0.904,0.2
always,513.711,514.331,0.62,0.691,0.401
better,514.551,514.952,0.401,0.785,0.22
to,514.972,515.012,0.04,0.0,0.02
talk,516.172,516.493,0.321,0.921,1.16
to,516.513,516.553,0.04,0.006,0.02
your,516.773,516.973,0.2,0.875,0.22
friends,517.173,517.694,0.521,0.805,0.2
about,518.014,518.474,0.46,0.914,0.32
your,518.554,518.734,0.18,0.852,0.08
problems?,518.814,519.375,0.561,0.879,0.08
I,520.828,520.868,0.04,0.999,1.453
told,520.928,521.149,0.221,0.905,0.06
you,521.189,521.409,0.22,0.979,0.04
in,522.83,522.93,0.1,0.982,1.421
some,522.99,523.23,0.24,0.988,0.06
"situation,",523.65,524.411,0.761,0.905,0.42
"yes,",525.492,525.732,0.24,0.952,1.081
but,526.252,526.733,0.481,0.858,0.52
for,526.833,526.973,0.14,0.992,0.1
always,527.053,527.453,0.4,0.852,0.08
it's,528.054,528.174,0.12,0.412,0.601
not,528.334,528.594,0.26,0.891,0.16
good,528.674,528.934,0.26,0.671,0.08
because,529.355,530.215,0.86,0.91,0.421
it's,531.516,532.037,0.521,0.761,1.301
better,533.257,533.638,0.381,0.93,1.22
to,533.658,534.498,0.84,0.906,0.02
say,535.499,536.38,0.881,0.825,1.001
for,536.92,537.28,0.36,0.812,0.54
some,537.481,538.541,1.06,0.901,0.201
people,538.581,538.922,0.341,0.936,0.04
who,538.942,539.002,0.06,0.0,0.02
have,539.402,539.742,0.34,0.608,0.4
experience,539.762,540.323,0.561,0.42,0.02
in,540.403,540.483,0.08,0.488,0.08
that,540.503,540.723,0.22,0.609,0.02
situation,540.743,541.023,0.28,0.202,0.02
and,541.063,541.203,0.14,0.578,0.04
you,541.283,541.483,0.2,0.72,0.08
can,541.524,541.644,0.12,0.554,0.041
and,548.088,548.228,0.14,0.784,6.444
you,548.768,550.789,2.021,0.871,0.54
can,551.009,551.309,0.3,0.712,0.22
have,551.369,552.01,0.641,0.912,0.06
some,552.33,553.57,1.24,0.895,0.32
good,554.05,554.27,0.22,0.894,0.48
results,554.33,554.951,0.621,0.734,0.06
in,555.291,555.371,0.08,0.996,0.34
this,555.411,555.691,0.28,0.859,0.04
situation,555.891,556.671,0.78,0.844,0.2
and,557.431,559.932,2.501,0.871,0.76
so,560.172,560.493,0.321,0.972,0.24
it,560.733,563.294,2.561,0.79,0.24
helps,563.734,564.014,0.28,0.724,0.44
you,564.054,564.214,0.16,0.997,0.04
to,564.274,564.514,0.24,0.836,0.06
have,564.654,565.014,0.36,0.83,0.14
good,565.154,565.594,0.44,0.909,0.14
results,565.714,566.535,0.821,0.788,0.12
or,566.555,566.615,0.06,0.001,0.02
benefits.,568.475,569.056,0.581,0.877,1.86
Is,571.376,571.456,0.08,0.857,2.32
it,571.516,571.616,0.1,0.784,0.06
necessary,571.757,572.597,0.84,0.891,0.141
to,573.017,573.157,0.14,0.852,0.42
have,573.237,573.477,0.24,0.872,0.08
friends,573.697,574.157,0.46,0.85,0.22
from,574.397,574.618,0.221,0.618,0.24
other,574.838,575.058,0.22,0.895,0.22
