word,start,end,duration,score,pause_before
as,40.673,40.773,0.1,0.594,0.14
"anyone's,",41.173,41.574,0.401,0.633,0.4
it,41.654,41.714,0.06,0.97,0.08
could,41.754,41.914,0.16,0.961,0.04
be,41.954,42.054,0.1,0.954,0.04
anyone's,42.114,42.474,0.36,0.868,0.06
birthday,42.555,43.555,1.0,0.532,0.081
or,43.575,43.615,0.04,0.002,0.02
any,43.715,43.856,0.141,0.935,0.1
special,43.896,44.256,0.36,0.847,0.04
occasion,44.316,44.716,0.4,0.943,0.06
or,44.796,44.856,0.06,0.914,0.08
family,44.916,45.237,0.321,0.862,0.06
gatherings,45.257,45.797,0.54,0.94,0.02
that,45.937,46.077,0.14,0.988,0.14
we,46.137,46.258,0.121,0.991,0.06
want,46.298,46.538,0.24,0.832,0.04
to,46.578,46.718,0.14,0.845,0.04
look,46.758,46.938,0.18,0.876,0.04
at,47.038,47.138,0.1,0.847,0.1
in,47.579,47.659,0.08,0.855,0.441
the,47.679,47.739,0.06,0.792,0.02
future,47.799,48.159,0.36,0.661,0.06
to,48.399,48.539,0.14,0.912,0.24
remember,48.619,49.06,0.441,0.893,0.08
a,49.1,49.14,0.04,0.483,0.04
good,49.18,49.34,0.16,0.877,0.04
experience.,49.42,50.021,0.601,0.95,0.08
and,50.821,50.961,0.14,0.616,0.8
also,51.101,51.321,0.22,0.913,0.14
that,51.361,51.502,0.141,0.912,0.04
photographs,51.582,52.102,0.52,0.909,0.08
also,52.182,52.562,0.38,0.898,0.08
helps,52.722,52.982,0.26,0.633,0.16
as,53.383,53.483,0.1,0.833,0.401
a,53.543,53.563,0.02,0.92,0.06
way,53.643,53.863,0.22,0.928,0.08
to,53.903,54.003,0.1,0.944,0.04
express,54.063,54.443,0.38,0.915,0.06
our,54.603,54.723,0.12,0.893,0.16
experiences,54.843,55.584,0.741,0.894,0.12
with,55.644,55.784,0.14,0.824,0.06
our,55.824,55.944,0.12,0.777,0.04
family,55.984,56.304,0.32,0.974,0.04
and,56.344,56.444,0.1,0.881,0.04
friends,56.524,56.804,0.28,0.917,0.08
in,57.225,57.305,0.08,0.883,0.421
today's,57.325,57.665,0.34,0.618,0.02
world,57.705,57.945,0.24,0.644,0.04
okay,58.585,58.925,0.34,0.721,0.64
do,59.386,59.486,0.1,0.839,0.461
you,59.526,59.626,0.1,0.978,0.04
think,59.686,59.866,0.18,0.947,0.06
people,59.926,60.286,0.36,0.922,0.06
take,60.346,60.546,0.2,0.911,0.06
more,60.646,60.847,0.201,0.981,0.1
photographs,60.947,61.567,0.62,0.887,0.1
nowadays,61.707,62.327,0.62,0.861,0.14
than,62.407,62.607,0.2,0.889,0.08
in,62.667,62.728,0.061,0.905,0.06
the,62.788,62.868,0.08,0.975,0.06
past,62.908,63.248,0.34,0.917,0.04
yes,63.708,63.948,0.24,0.898,0.46
without,64.108,64.388,0.28,0.834,0.16
a,64.428,64.448,0.02,0.89,0.04
doubt,64.488,64.709,0.221,0.866,0.04
because,64.969,65.229,0.26,0.714,0.26
in,65.269,65.349,0.08,0.973,0.04
the,65.369,65.429,0.06,0.824,0.02
past,65.489,65.749,0.26,0.876,0.06
we,65.809,65.929,0.12,0.906,0.06
need,65.969,66.169,0.2,0.799,0.04
more,66.229,66.43,0.201,0.772,0.06
resources,66.47,67.03,0.56,0.873,0.04
such,67.07,67.23,0.16,0.84,0.04
as,67.29,67.35,0.06,0.89,0.06
a,67.41,67.47,0.06,0.841,0.06
camera,67.51,67.83,0.32,0.838,0.04
person,67.87,68.431,0.561,0.795,0.04
a,68.891,68.991,0.1,0.315,0.46
different,69.011,69.371,0.36,0.922,0.02
camera,69.491,70.111,0.62,0.823,0.12
it,70.512,70.592,0.08,0.445,0.401
could,70.612,70.792,0.18,0.624,0.02
be,70.812,70.932,0.12,0.829,0.02
photograph,70.992,71.512,0.52,0.967,0.06
papers,71.592,72.413,0.821,0.882,0.08
which,72.493,72.633,0.14,0.92,0.08
was,72.693,72.873,0.18,0.837,0.06
more,72.993,73.333,0.34,0.759,0.12
like,73.493,73.673,0.18,0.715,0.16
expensive,73.753,74.314,0.561,0.946,0.08
and,74.354,74.454,0.1,0.957,0.04
less,74.514,74.694,0.18,0.893,0.06
convenient,74.774,75.314,0.54,0.909,0.08
but,75.654,75.774,0.12,0.989,0.34
in,75.855,75.935,0.08,0.987,0.081
contracts,75.995,76.475,0.48,0.903,0.06
in,76.555,76.635,0.08,0.998,0.08
today's,76.655,76.975,0.32,0.425,0.02
generation,77.015,77.656,0.641,0.839,0.04
almost,77.896,78.176,0.28,0.901,0.24
everyone,78.276,78.636,0.36,0.817,0.1
have,78.696,78.896,0.2,0.85,0.06
a,78.956,78.996,0.04,0.689,0.06
mobile,79.036,79.356,0.32,0.571,0.04
phone,79.376,79.577,0.201,0.502,0.02
or,79.637,79.717,0.08,0.424,0.06
smartphone,79.737,80.217,0.48,0.536,0.02
with,80.557,80.737,0.18,0.555,0.34
high,80.777,80.957,0.18,0.872,0.04
quality,81.017,81.398,0.381,0.931,0.06
cameras,81.438,81.898,0.46,0.786,0.04
so,81.978,82.158,0.18,0.598,0.08
photograph,82.178,82.659,0.481,0.933,0.02
has,82.779,82.919,0.14,0.801,0.12
become,82.959,83.239,0.28,0.971,0.04
a,83.279,83.319,0.04,0.504,0.04
really,83.379,83.62,0.241,0.769,0.06
accessible,83.66,84.16,0.5,0.905,0.04
thing,84.2,84.4,0.2,0.917,0.04
in,84.761,84.821,0.06,0.976,0.361
today's,84.841,85.321,0.48,0.587,0.02
generation,85.341,85.701,0.36,0.336,0.02
great,85.721,86.002,0.281,0.646,0.02
what,86.722,86.922,0.2,0.975,0.72
are,87.082,87.203,0.121,0.865,0.16
the,87.243,87.343,0.1,0.912,0.04
advantages,87.443,88.283,0.84,0.88,0.1
of,88.524,88.644,0.12,0.98,0.241
keeping,88.884,89.204,0.32,0.836,0.24
photographs,89.344,90.005,0.661,0.892,0.14
oh,90.425,90.525,0.1,0.716,0.42
there,90.565,90.705,0.14,0.794,0.04
are,90.745,90.866,0.121,0.625,0.04
many,90.886,91.186,0.3,0.744,0.02
several,91.346,91.686,0.34,0.923,0.16
advantages,91.746,92.167,0.421,0.804,0.06
of,92.207,92.267,0.06,0.986,0.04
keeping,92.347,92.627,0.28,0.805,0.08
photographs,92.687,93.188,0.501,0.918,0.06
such,93.508,93.708,0.2,0.853,0.32
as,93.828,93.948,0.12,0.573,0.12
photographs,94.068,94.549,0.481,0.954,0.12
helps,94.569,94.809,0.24,0.647,0.02
to,94.869,95.129,0.26,0.888,0.06
like,95.469,95.67,0.201,0.674,0.34
keep,96.11,96.35,0.24,0.897,0.44
a,96.45,96.53,0.08,0.776,0.1
moment,96.63,97.071,0.441,0.926,0.1
in,97.611,97.691,0.08,0.944,0.54
a,97.771,97.911,0.14,0.795,0.08
picture,98.092,98.432,0.34,0.943,0.181
in,98.912,99.012,0.1,0.804,0.48
a,99.032,99.052,0.02,0.972,0.02
paper,99.112,99.472,0.36,0.832,0.06
that,99.672,99.792,0.12,0.984,0.2
we,99.832,100.032,0.2,0.996,0.04
can,100.312,100.572,0.26,0.974,0.28
access,100.732,101.133,0.401,0.759,0.16
or,101.353,101.453,0.1,0.801,0.22
like,101.493,101.653,0.16,0.93,0.04
we,101.673,101.773,0.1,0.996,0.02
can,101.813,101.973,0.16,0.945,0.04
see,102.033,102.253,0.22,0.992,0.06
in,102.433,102.533,0.1,0.883,0.18
the,102.573,102.693,0.12,0.883,0.04
future,102.753,103.093,0.34,0.934,0.06
so,103.453,103.553,0.1,0.992,0.36
that,103.593,103.733,0.14,0.883,0.04
we'll,103.773,104.033,0.26,0.688,0.04
remember,104.073,104.513,0.44,0.866,0.04
not,104.613,104.733,0.12,0.85,0.1
to,104.773,104.833,0.06,0.776,0.04
forget,104.893,105.193,0.3,0.876,0.06
that,105.253,105.473,0.22,0.757,0.06
and,106.314,106.474,0.16,0.434,0.841
also,106.574,106.814,0.24,0.901,0.1
that,106.854,107.054,0.2,0.479,0.04
in,107.094,107.154,0.06,0.98,0.04
addition,107.214,107.614,0.4,0.943,0.06
photographs,107.694,108.154,0.46,0.917,0.08
also,108.274,108.534,0.26,0.9,0.12
helps,108.574,108.794,0.22,0.7,0.04
to,108.914,109.074,0.16,0.78,0.12
strengthen,109.094,109.514,0.42,0.704,0.02
our,109.594,109.694,0.1,0.853,0.08
emotional,109.774,110.154,0.38,0.876,0.08
bond,110.194,110.455,0.261,0.903,0.04
because,110.635,110.895,0.26,0.712,0.18
when,110.955,111.135,0.18,0.912,0.06
we,111.195,111.455,0.26,0.94,0.06
look,111.835,112.035,0.2,0.883,0.38
at,112.075,112.175,0.1,0.717,0.04
a,112.195,112.235,0.04,0.334,0.02
photograph,112.295,112.815,0.52,0.911,0.06
a,112.855,112.915,0.06,0.429,0.04
printed,112.975,113.255,0.28,0.869,0.06
photograph,113.295,113.715,0.42,0.964,0.04
with,113.735,113.855,0.12,0.93,0.02
our,113.895,114.015,0.12,0.852,0.04
families,114.055,114.475,0.42,0.896,0.04
it,114.575,114.635,0.06,0.528,0.1
can,114.675,114.875,0.2,0.8,0.04
make,115.296,115.516,0.22,0.856,0.421
a,115.556,115.576,0.02,0.981,0.04
beautiful,115.616,116.036,0.42,0.93,0.04
moment,116.096,116.456,0.36,0.916,0.06
uh,116.856,116.956,0.1,0.34,0.4
without,117.096,117.476,0.38,0.909,0.14
with,117.656,117.816,0.16,0.761,0.18
them,117.836,118.056,0.22,0.92,0.02
so,118.156,118.296,0.14,0.731,0.1
yeah,118.316,118.596,0.28,0.504,0.02
photograph,118.856,119.316,0.46,0.834,0.26
has,119.356,119.516,0.16,0.956,0.04
a,119.777,119.797,0.02,0.731,0.261
really,119.857,120.117,0.26,0.876,0.06
several,120.157,120.457,0.3,0.903,0.04
advantages,120.497,120.937,0.44,0.725,0.04
nice,121.317,121.577,0.26,0.948,0.38
Let,122.357,122.537,0.18,0.818,0.78
me,122.557,122.657,0.1,0.622,0.02
ask,122.737,122.837,0.1,0.653,0.08
you,122.877,122.997,0.12,0.667,0.04
the,123.017,123.117,0.1,0.985,0.02
last,123.157,123.417,0.26,0.9,0.04
question,123.477,123.837,0.36,0.964,0.06
for,123.877,124.018,0.141,0.803,0.04
part,124.078,124.298,0.22,0.72,0.06
three,124.318,124.518,0.2,0.584,0.02
of,124.558,124.618,0.06,0.878,0.04
the,124.658,124.758,0.1,0.873,0.04
speaking,124.778,125.118,0.34,0.893,0.02
test.,125.158,125.438,0.28,0.93,0.04
How,125.958,126.178,0.22,0.981,0.52
has,126.258,126.538,0.28,0.908,0.08
social,126.638,127.038,0.4,0.952,0.1
media,127.078,127.458,0.38,0.95,0.04
changed,127.538,127.939,0.401,0.806,0.08
the,128.079,128.219,0.14,0.947,0.14
way,128.299,128.559,0.26,0.884,0.08
people,128.599,128.979,0.38,0.832,0.04
use,129.239,129.439,0.2,0.771,0.26
photographs?,129.519,130.119,0.6,0.846,0.08
Oh,130.619,130.739,0.12,0.77,0.5
"yeah,",130.799,130.979,0.18,0.534,0.06
social,130.999,131.279,0.28,0.889,0.02
media,131.319,131.559,0.24,0.649,0.04
has,131.58,131.7,0.12,0.915,0.021
changed,131.74,131.96,0.22,0.274,0.04
drastically,132.04,132.6,0.56,0.757,0.08
the,132.64,132.74,0.1,0.838,0.04
way,132.76,132.92,0.16,0.922,0.02
people,132.96,133.22,0.26,0.916,0.04
use,133.36,133.5,0.14,0.774,0.14
photographs,133.52,134.04,0.52,0.865,0.02
because,134.52,134.88,0.36,0.894,0.48
in,135.08,135.2,0.12,0.891,0.2
past,135.26,135.581,0.321,0.966,0.06
when,135.981,136.141,0.16,0.952,0.4
we,136.181,136.301,0.12,0.958,0.04
talk,136.361,136.561,0.2,0.947,0.06
about,136.621,136.881,0.26,0.802,0.06
photographs,137.321,137.801,0.48,0.914,0.44
as,137.861,137.961,0.1,0.8,0.06
all,138.101,138.261,0.16,0.921,0.14
like,138.741,138.961,0.22,0.812,0.48
a,139.121,139.181,0.06,0.867,0.16
way,139.242,139.502,0.26,0.99,0.061
to,139.582,139.722,0.14,0.882,0.08
store,139.822,140.242,0.42,0.907,0.1
the,140.302,140.402,0.1,0.884,0.06
memories,140.422,140.902,0.48,0.831,0.02
but,140.982,141.242,0.26,0.683,0.08
in,141.302,141.362,0.06,0.892,0.06
today's,141.402,141.842,0.44,0.751,0.04
generation,141.862,142.362,0.5,0.432,0.02
we,142.382,142.462,0.08,0.349,0.02
can,142.502,142.662,0.16,0.623,0.04
say,142.682,142.802,0.12,0.944,0.02
that,142.822,142.962,0.14,0.548,0.02
social,143.003,143.303,0.3,0.592,0.041
media,143.343,143.643,0.3,0.866,0.04
has,143.683,143.823,0.14,0.908,0.04
changed,143.863,144.203,0.34,0.56,0.04
the,144.223,144.323,0.1,0.701,0.02
way,144.363,144.503,0.14,0.976,0.04
for,145.123,145.324,0.201,0.91,0.62
a,145.344,145.364,0.02,0.052,0.02
photograph,145.404,145.804,0.4,0.989,0.04
is,145.864,145.945,0.081,0.738,0.06
being,145.985,146.165,0.18,0.775,0.04
used,146.285,146.485,0.2,0.776,0.12
because,146.525,146.766,0.241,0.378,0.04
it,146.866,146.926,0.06,0.992,0.1
can,146.986,147.226,0.24,0.904,0.06
be,147.286,147.407,0.121,0.984,0.06
also,147.487,147.727,0.24,0.985,0.08
used,147.867,148.028,0.161,0.887,0.14
to,148.068,148.168,0.1,0.845,0.04
share,148.208,148.448,0.24,0.677,0.04
the,148.488,148.588,0.1,0.866,0.04
experience,148.628,149.209,0.581,0.861,0.04
with,149.249,149.39,0.141,0.872,0.04
the,149.41,149.47,0.06,0.694,0.02
world,149.51,149.77,0.26,0.799,0.04
without,150.111,150.511,0.4,0.773,0.341
like,150.711,150.912,0.201,0.898,0.2
going,151.332,151.653,0.321,0.785,0.42
out,151.873,151.993,0.12,0.853,0.22
of,152.053,152.093,0.04,0.994,0.06
our,152.174,152.274,0.1,0.879,0.081
comfort,152.334,152.674,0.34,0.986,0.06
zone,152.694,152.915,0.221,0.615,0.02
we,152.955,153.035,0.08,0.982,0.04
can,153.075,153.215,0.14,0.981,0.04
sit,153.255,153.435,0.18,0.961,0.04
in,153.475,153.556,0.081,0.98,0.04
our,153.656,153.796,0.14,0.894,0.1
place,153.876,154.156,0.28,0.84,0.08
and,154.297,154.397,0.1,0.841,0.141
just,154.417,154.557,0.14,0.294,0.02
share,154.597,154.797,0.2,0.626,0.04
our,154.878,154.998,0.12,0.879,0.081
experiences,155.038,155.538,0.5,0.876,0.04
as,155.619,155.719,0.1,0.808,0.081
a,155.759,155.779,0.02,0.96,0.04
photograph,155.839,156.28,0.441,0.873,0.06
with,156.32,156.44,0.12,0.985,0.04
other,156.52,156.7,0.18,0.921,0.08
peoples,156.74,157.081,0.341,0.792,0.04
okay,157.922,158.202,0.28,0.578,0.841
that's,158.222,158.463,0.241,0.825,0.02
it,158.583,158.683,0.1,0.91,0.12
so,159.144,159.444,0.3,0.765,0.461
that's,159.524,159.805,0.281,0.765,0.08
the,159.845,159.945,0.1,0.879,0.04
end,160.025,160.185,0.16,0.751,0.08
of,160.225,160.265,0.04,0.785,0.04
part,160.426,160.626,0.2,0.52,0.161
three,160.706,161.006,0.3,0.938,0.08
of,161.046,161.127,0.081,0.718,0.04
the,161.147,161.247,0.1,0.841,0.02
speaking,161.287,161.647,0.36,0.988,0.04
test,161.707,161.928,0.221,0.844,0.06
you,161.968,162.108,0.14,0.915,0.04
did,162.128,162.288,0.16,0.877,0.02
a,162.328,162.368,0.04,0.601,0.04
good,162.408,162.609,0.201,0.961,0.04
job,162.689,163.009,0.32,0.836,0.08
thank,163.089,163.25,0.161,0.648,0.08
you,163.27,163.37,0.1,0.923,0.02
so,163.41,163.55,0.14,0.985,0.04
much,163.61,163.811,0.201,0.914,0.06
thank,163.951,164.131,0.18,0.853,0.14
you,164.171,164.251,0.08,0.8,0.04
